Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all
3,0.000156795404781956,1.24636101722717,1.05003529208835e-05,3
3,0.000156795404781956,1.25485372543335,1.43952824097092e-05,5
3,0.000156795404781956,1.21236491203308,1.63313691930622e-05,2
3,0.000156795404781956,1.20910668373108,1.14937463713652e-05,4
3,0.000156795404781956,1.17131423950195,2.74414143821525e-05,3
3,0.000156795404781956,1.19798994064331,2.52997336291178e-05,4
3,0.000156795404781956,1.20184755325317,2.225188441822e-05,2
3,0.000156795404781956,1.18005609512329,2.31626623328851e-05,2
3,0.000156795404781956,1.16209125518799,2.25476229268054e-05,2
4,0.000106651167857001,1.0274441242218,2.13322700547226e-05,6
4,0.000106651167857001,1.05823516845703,1.64725729049641e-05,3
4,0.000106651167857001,1.06089949607849,1.91749142406234e-05,4
4,0.000106651167857001,1.04028940200806,2.09613264032226e-05,5
4,0.000106651167857001,1.04735040664673,1.88645297845782e-05,3
4,0.000106651167857001,1.03577613830566,1.83130057900815e-05,4
4,0.000106651167857001,1.05184507369995,1.67663999056191e-05,3
4,0.000106651167857001,1.04724740982056,1.64577105363012e-05,4
4,0.000106651167857001,1.05424833297729,2.01276156122562e-05,4
4,0.000106651167857001,1.04684233665466,1.76186133691801e-05,5
4,0.000106651167857001,1.06639695167542,2.14953254136586e-05,4
4,0.000106651167857001,1.07113528251648,1.795510682928e-05,4
4,0.000106651167857001,1.08158683776855,2.22603541144172e-05,3
4,0.000106651167857001,1.04974102973938,1.73628053469489e-05,3
4,0.000106651167857001,1.11260151863098,1.76241899622288e-05,4
4,0.000106651167857001,1.08062839508057,1.74675147981754e-05,4
4,0.000106651167857001,1.09602904319763,1.92948156978578e-05,5
4,0.000106651167857001,1.3069965839386,3.34799598008348e-05,2
4,0.000106651167857001,1.03233051300049,1.73271200076261e-05,4
4,0.000106651167857001,1.01779961585999,2.3148545698384e-05,3
4,0.000106651167857001,1.00081729888916,2.14365186576869e-05,4
4,0.000106651167857001,1.01239895820618,1.94590364847508e-05,3
4,0.000106651167857001,1.03610134124756,1.91535476571827e-05,3
4,0.000106651167857001,1.03398823738098,2.24268093252316e-05,4
4,0.000106651167857001,0.990297555923462,2.19607787132022e-05,3
4,0.000106651167857001,1.01027631759644,2.17142100362675e-05,3
4,0.000106651167857001,1.00774431228638,1.92799349129861e-05,3
4,0.000106651167857001,1.0398576259613,2.05838142256201e-05,3
4,0.000106651167857001,1.01155185699463,1.84079716513822e-05,3
